<ticker>,<date>,<time>,<close>,SMA_value
.NSEBANK,02-02-2022,09:15:00,38865.1,38363.909
.NSEBANK,02-02-2022,09:16:00,38890.6,38365.2155
.NSEBANK,02-02-2022,09:17:00,38933,38366.771
.NSEBANK,02-02-2022,09:18:00,38955.6,38368.4785
.NSEBANK,02-02-2022,09:19:00,38953.1,38370.2335
.NSEBANK,02-02-2022,09:20:00,38986.8,38372.0855
.NSEBANK,02-02-2022,09:21:00,38993.3,38374.0705
.NSEBANK,02-02-2022,09:22:00,38952.6,38375.732
.NSEBANK,02-02-2022,09:23:00,38926.9,38377.318
.NSEBANK,02-02-2022,09:24:00,38976,38379.5685
.NSEBANK,02-02-2022,09:25:00,39021.9,38381.95
.NSEBANK,02-02-2022,09:26:00,39065,38384.3195
.NSEBANK,02-02-2022,09:27:00,39102.4,38386.9345
.NSEBANK,02-02-2022,09:28:00,39071.1,38389.3735
.NSEBANK,02-02-2022,09:29:00,39065.1,38391.8395
.NSEBANK,02-02-2022,09:30:00,39072.3,38394.469
.NSEBANK,02-02-2022,09:31:00,39029.9,38396.8765
.NSEBANK,02-02-2022,09:32:00,39015.6,38399.179
.NSEBANK,02-02-2022,09:33:00,39025.3,38401.3565
.NSEBANK,02-02-2022,09:34:00,38978.8,38403.104
.NSEBANK,02-02-2022,09:35:00,38985.4,38404.774
.NSEBANK,02-02-2022,09:36:00,38976.6,38407.3445
.NSEBANK,02-02-2022,09:37:00,38978.7,38409.322
.NSEBANK,02-02-2022,09:38:00,38976.7,38411.8735
.NSEBANK,02-02-2022,09:39:00,38976.6,38414.848
.NSEBANK,02-02-2022,09:40:00,38988.4,38417.7235
.NSEBANK,02-02-2022,09:41:00,38997.9,38420.7035
.NSEBANK,02-02-2022,09:42:00,39041.8,38423.707
.NSEBANK,02-02-2022,09:43:00,39011.5,38426.477
.NSEBANK,02-02-2022,09:44:00,39019.4,38428.96
.NSEBANK,02-02-2022,09:45:00,39022.1,38431.449
.NSEBANK,02-02-2022,09:46:00,39053.7,38434.152
.NSEBANK,02-02-2022,09:47:00,39036.3,38436.6715
.NSEBANK,02-02-2022,09:48:00,39031.1,38439.4215
.NSEBANK,02-02-2022,09:49:00,39032.6,38442.061
.NSEBANK,02-02-2022,09:50:00,39058.9,38444.909
.NSEBANK,02-02-2022,09:51:00,39049.3,38447.747
.NSEBANK,02-02-2022,09:52:00,39040.8,38450.854
.NSEBANK,02-02-2022,09:53:00,39031.8,38454.014
.NSEBANK,02-02-2022,09:54:00,39022.9,38457.099
.NSEBANK,02-02-2022,09:55:00,39005.1,38459.954
.NSEBANK,02-02-2022,09:56:00,39020.1,38462.7485
.NSEBANK,02-02-2022,09:57:00,39018.9,38465.4885
.NSEBANK,02-02-2022,09:58:00,39011.9,38468.249
.NSEBANK,02-02-2022,09:59:00,39008.1,38471.059
.NSEBANK,02-02-2022,10:00:00,39072.2,38473.9425
.NSEBANK,02-02-2022,10:01:00,39103.8,38477.46
.NSEBANK,02-02-2022,10:02:00,39101.1,38480.8025
.NSEBANK,02-02-2022,10:03:00,39134.4,38484.4075
.NSEBANK,02-02-2022,10:04:00,39131.3,38488.297
.NSEBANK,02-02-2022,10:05:00,39130.8,38492.3965
.NSEBANK,02-02-2022,10:06:00,39124.6,38497.062
.NSEBANK,02-02-2022,10:07:00,39122.5,38501.8375
.NSEBANK,02-02-2022,10:08:00,39119.9,38506.9765
.NSEBANK,02-02-2022,10:09:00,39132,38512.1345
.NSEBANK,02-02-2022,10:10:00,39156.4,38517.382
.NSEBANK,02-02-2022,10:11:00,39143.1,38522.5705
.NSEBANK,02-02-2022,10:12:00,39120.9,38527.707
.NSEBANK,02-02-2022,10:13:00,39128.3,38532.968
.NSEBANK,02-02-2022,10:14:00,39134.3,38538.1525
.NSEBANK,02-02-2022,10:15:00,39105.4,38543.2975
.NSEBANK,02-02-2022,10:16:00,39084.5,38548.339
.NSEBANK,02-02-2022,10:17:00,39097.5,38554.3135
.NSEBANK,02-02-2022,10:18:00,39134.1,38560.5235
.NSEBANK,02-02-2022,10:19:00,39163.5,38567.5325
.NSEBANK,02-02-2022,10:20:00,39163.9,38574.0025
.NSEBANK,02-02-2022,10:21:00,39162.4,38580.459
.NSEBANK,02-02-2022,10:22:00,39163.5,38586.4025
.NSEBANK,02-02-2022,10:23:00,39142.4,38592.015
.NSEBANK,02-02-2022,10:24:00,39147.6,38597.4655
.NSEBANK,02-02-2022,10:25:00,39143.9,38603.123
.NSEBANK,02-02-2022,10:26:00,39123.1,38608.754
.NSEBANK,02-02-2022,10:27:00,39132.6,38614.425
.NSEBANK,02-02-2022,10:28:00,39132.9,38620.226
.NSEBANK,02-02-2022,10:29:00,39141.3,38625.9435
.NSEBANK,02-02-2022,10:30:00,39139.6,38631.0975
.NSEBANK,02-02-2022,10:31:00,39159.8,38636.276
.NSEBANK,02-02-2022,10:32:00,39146.8,38641.339
.NSEBANK,02-02-2022,10:33:00,39149.3,38646.378
.NSEBANK,02-02-2022,10:34:00,39140.8,38651.4835
.NSEBANK,02-02-2022,10:35:00,39123.1,38656.6495
.NSEBANK,02-02-2022,10:36:00,39107.8,38661.641
.NSEBANK,02-02-2022,10:37:00,39077.6,38666.3625
.NSEBANK,02-02-2022,10:38:00,39032.3,38670.569
.NSEBANK,02-02-2022,10:39:00,39006,38674.604
.NSEBANK,02-02-2022,10:40:00,39026.1,38678.91
.NSEBANK,02-02-2022,10:41:00,39018,38683.4545
.NSEBANK,02-02-2022,10:42:00,39039.9,38688.221
.NSEBANK,02-02-2022,10:43:00,39063.7,38692.9175
.NSEBANK,02-02-2022,10:44:00,39044.1,38697.836
.NSEBANK,02-02-2022,10:45:00,39051.4,38702.73
.NSEBANK,02-02-2022,10:46:00,39066.4,38707.5665
.NSEBANK,02-02-2022,10:47:00,39063.1,38712.455
.NSEBANK,02-02-2022,10:48:00,39050.6,38717.172
.NSEBANK,02-02-2022,10:49:00,39058.8,38721.922
.NSEBANK,02-02-2022,10:50:00,39064.4,38726.5035
.NSEBANK,02-02-2022,10:51:00,39069.5,38730.8995
.NSEBANK,02-02-2022,10:52:00,39057.1,38734.8495
.NSEBANK,02-02-2022,10:53:00,39056,38738.6275
.NSEBANK,02-02-2022,10:54:00,39050,38742.466
.NSEBANK,02-02-2022,10:55:00,39057.8,38746.2505
.NSEBANK,02-02-2022,10:56:00,39068.1,38750.1295
.NSEBANK,02-02-2022,10:57:00,39078,38754.069
.NSEBANK,02-02-2022,10:58:00,39088.6,38758.2775
.NSEBANK,02-02-2022,10:59:00,39093.4,38762.5945
.NSEBANK,02-02-2022,11:00:00,39085.3,38766.668
.NSEBANK,02-02-2022,11:01:00,39085.3,38770.8515
.NSEBANK,02-02-2022,11:02:00,39106.8,38775.345
.NSEBANK,02-02-2022,11:03:00,39133.6,38779.945
.NSEBANK,02-02-2022,11:04:00,39131.2,38784.4855
.NSEBANK,02-02-2022,11:05:00,39134.2,38788.9485
.NSEBANK,02-02-2022,11:06:00,39121.4,38793.339
.NSEBANK,02-02-2022,11:07:00,39124.5,38797.729
.NSEBANK,02-02-2022,11:08:00,39134.2,38802.1635
.NSEBANK,02-02-2022,11:09:00,39160.9,38806.74
.NSEBANK,02-02-2022,11:10:00,39136.5,38811.3745
.NSEBANK,02-02-2022,11:11:00,39133.4,38815.9445
.NSEBANK,02-02-2022,11:12:00,39115.6,38820.3635
.NSEBANK,02-02-2022,11:13:00,39109.6,38824.7125
.NSEBANK,02-02-2022,11:14:00,39123.8,38828.985
.NSEBANK,02-02-2022,11:15:00,39133.6,38833.241
.NSEBANK,02-02-2022,11:16:00,39117.6,38837.567
.NSEBANK,02-02-2022,11:17:00,39123.1,38841.634
.NSEBANK,02-02-2022,11:18:00,39115,38845.4975
.NSEBANK,02-02-2022,11:19:00,39100.6,38849.4365
.NSEBANK,02-02-2022,11:20:00,39101.9,38853.363
.NSEBANK,02-02-2022,11:21:00,39100.5,38857.2885
.NSEBANK,02-02-2022,11:22:00,39100.5,38861.3555
.NSEBANK,02-02-2022,11:23:00,39119.8,38865.4915
.NSEBANK,02-02-2022,11:24:00,39131.4,38869.5815
.NSEBANK,02-02-2022,11:25:00,39138.4,38873.4595
.NSEBANK,02-02-2022,11:26:00,39133.6,38877.3785
.NSEBANK,02-02-2022,11:27:00,39132.4,38881.256
.NSEBANK,02-02-2022,11:28:00,39127.8,38884.743
.NSEBANK,02-02-2022,11:29:00,39132.1,38888.188
.NSEBANK,02-02-2022,11:30:00,39135.9,38891.4785
.NSEBANK,02-02-2022,11:31:00,39154.8,38894.8805
.NSEBANK,02-02-2022,11:32:00,39155.5,38898.1025
.NSEBANK,02-02-2022,11:33:00,39140.8,38901.2025
.NSEBANK,02-02-2022,11:34:00,39142.6,38904.4835
.NSEBANK,02-02-2022,11:35:00,39142.6,38907.5035
.NSEBANK,02-02-2022,11:36:00,39153.8,38910.4595
.NSEBANK,02-02-2022,11:37:00,39148.8,38913.5985
.NSEBANK,02-02-2022,11:38:00,39130.6,38916.551
.NSEBANK,02-02-2022,11:39:00,39139.9,38919.4875
.NSEBANK,02-02-2022,11:40:00,39147.1,38922.4595
.NSEBANK,02-02-2022,11:41:00,39153.3,38925.3615
.NSEBANK,02-02-2022,11:42:00,39156.4,38928.501
.NSEBANK,02-02-2022,11:43:00,39159.6,38931.7525
.NSEBANK,02-02-2022,11:44:00,39158.1,38935.0585
.NSEBANK,02-02-2022,11:45:00,39189,38938.642
.NSEBANK,02-02-2022,11:46:00,39181.1,38942.1045
.NSEBANK,02-02-2022,11:47:00,39193,38945.6655
.NSEBANK,02-02-2022,11:48:00,39191.9,38948.9695
.NSEBANK,02-02-2022,11:49:00,39201.7,38952.005
.NSEBANK,02-02-2022,11:50:00,39202.4,38955.1505
.NSEBANK,02-02-2022,11:51:00,39206.5,38958.4675
.NSEBANK,02-02-2022,11:52:00,39212.8,38961.7195
.NSEBANK,02-02-2022,11:53:00,39209.4,38965.0995
.NSEBANK,02-02-2022,11:54:00,39218.4,38968.557
.NSEBANK,02-02-2022,11:55:00,39218.2,38972.4585
.NSEBANK,02-02-2022,11:56:00,39212.3,38976.445
.NSEBANK,02-02-2022,11:57:00,39214.4,38980.3635
.NSEBANK,02-02-2022,11:58:00,39225.4,38984.27
.NSEBANK,02-02-2022,11:59:00,39225.5,38988.072
.NSEBANK,02-02-2022,12:00:00,39240.1,38991.798
.NSEBANK,02-02-2022,12:01:00,39242.7,38995.6995
.NSEBANK,02-02-2022,12:02:00,39224.6,38999.6335
.NSEBANK,02-02-2022,12:03:00,39212.6,39003.5225
.NSEBANK,02-02-2022,12:04:00,39214.1,39007.4275
.NSEBANK,02-02-2022,12:05:00,39225.6,39011.801
.NSEBANK,02-02-2022,12:06:00,39238.6,39016.0245
.NSEBANK,02-02-2022,12:07:00,39239.3,39020.0735
.NSEBANK,02-02-2022,12:08:00,39246.1,39024.225
.NSEBANK,02-02-2022,12:09:00,39259.6,39028.449
.NSEBANK,02-02-2022,12:10:00,39267.2,39032.5955
.NSEBANK,02-02-2022,12:11:00,39239.4,39036.5885
.NSEBANK,02-02-2022,12:12:00,39226.1,39040.297
.NSEBANK,02-02-2022,12:13:00,39221.7,39043.9125
.NSEBANK,02-02-2022,12:14:00,39211.1,39047.532
.NSEBANK,02-02-2022,12:15:00,39196.9,39051.2205
.NSEBANK,02-02-2022,12:16:00,39212.4,39054.8835
.NSEBANK,02-02-2022,12:17:00,39235,39058.676
.NSEBANK,02-02-2022,12:18:00,39264.9,39062.6265
.NSEBANK,02-02-2022,12:19:00,39270.4,39066.656
.NSEBANK,02-02-2022,12:20:00,39260.6,39070.385
.NSEBANK,02-02-2022,12:21:00,39266.2,39073.965
.NSEBANK,02-02-2022,12:22:00,39253.2,39077.4335
.NSEBANK,02-02-2022,12:23:00,39243.6,39080.9435
.NSEBANK,02-02-2022,12:24:00,39244.6,39084.496
.NSEBANK,02-02-2022,12:25:00,39223.9,39087.9275
.NSEBANK,02-02-2022,12:26:00,39212,39091.382
.NSEBANK,02-02-2022,12:27:00,39199.6,39094.761
.NSEBANK,02-02-2022,12:28:00,39225.6,39098.0835
.NSEBANK,02-02-2022,12:29:00,39222.4,39101.3775
.NSEBANK,02-02-2022,12:30:00,39234.8,39104.6995
.NSEBANK,02-02-2022,12:31:00,39233.3,39108.0215
.NSEBANK,02-02-2022,12:32:00,39206.5,39111.1625
.NSEBANK,02-02-2022,12:33:00,39212.4,39114.378
.NSEBANK,02-02-2022,12:34:00,39199.6,39117.562
.NSEBANK,02-02-2022,12:35:00,39210.1,39119.287
.NSEBANK,02-02-2022,12:36:00,39208.6,39120.877
.NSEBANK,02-02-2022,12:37:00,39207.2,39122.248
.NSEBANK,02-02-2022,12:38:00,39201,39123.475
.NSEBANK,02-02-2022,12:39:00,39199.7,39124.708
.NSEBANK,02-02-2022,12:40:00,39205.1,39125.7995
.NSEBANK,02-02-2022,12:41:00,39216.9,39126.9175
.NSEBANK,02-02-2022,12:42:00,39225.8,39128.2835
.NSEBANK,02-02-2022,12:43:00,39226.9,39129.7835
.NSEBANK,02-02-2022,12:44:00,39220.5,39131.006
.NSEBANK,02-02-2022,12:45:00,39215.8,39131.9755
.NSEBANK,02-02-2022,12:46:00,39211.3,39132.707
.NSEBANK,02-02-2022,12:47:00,39216.4,39133.277
.NSEBANK,02-02-2022,12:48:00,39227.6,39134.0595
.NSEBANK,02-02-2022,12:49:00,39228.9,39134.8785
.NSEBANK,02-02-2022,12:50:00,39227.8,39135.656
.NSEBANK,02-02-2022,12:51:00,39221.9,39136.616
.NSEBANK,02-02-2022,12:52:00,39198.9,39137.5325
.NSEBANK,02-02-2022,12:53:00,39198.8,39138.4
.NSEBANK,02-02-2022,12:54:00,39207.5,39139.5435
.NSEBANK,02-02-2022,12:55:00,39190.5,39140.569
.NSEBANK,02-02-2022,12:56:00,39174.6,39141.559
.NSEBANK,02-02-2022,12:57:00,39176.6,39142.5485
.NSEBANK,02-02-2022,12:58:00,39170.3,39143.5165
.NSEBANK,02-02-2022,12:59:00,39167.4,39144.4705
.NSEBANK,02-02-2022,13:00:00,39178.5,39145.421
.NSEBANK,02-02-2022,13:01:00,39184,39146.3515
.NSEBANK,02-02-2022,13:02:00,39192.9,39147.107
.NSEBANK,02-02-2022,13:03:00,39190.1,39148
.NSEBANK,02-02-2022,13:04:00,39180.1,39148.8035
.NSEBANK,02-02-2022,13:05:00,39184.6,39149.616
.NSEBANK,02-02-2022,13:06:00,39178.4,39150.2395
.NSEBANK,02-02-2022,13:07:00,39139,39150.753
.NSEBANK,02-02-2022,13:08:00,39161.8,39151.4065
.NSEBANK,02-02-2022,13:09:00,39160.5,39152.046
.NSEBANK,02-02-2022,13:10:00,39175.3,39152.628
.NSEBANK,02-02-2022,13:11:00,39175.4,39153.2585
.NSEBANK,02-02-2022,13:12:00,39168.3,39153.896
.NSEBANK,02-02-2022,13:13:00,39162.9,39154.5515
.NSEBANK,02-02-2022,13:14:00,39166.3,39155.2685
.NSEBANK,02-02-2022,13:15:00,39152.3,39156.0045
.NSEBANK,02-02-2022,13:16:00,39164.4,39156.726
.NSEBANK,02-02-2022,13:17:00,39183.4,39157.5485
.NSEBANK,02-02-2022,13:18:00,39188.6,39158.432
.NSEBANK,02-02-2022,13:19:00,39195.8,39159.3705
.NSEBANK,02-02-2022,13:20:00,39229.5,39160.157
.NSEBANK,02-02-2022,13:21:00,39218.8,39160.732
.NSEBANK,02-02-2022,13:22:00,39220.6,39161.3295
.NSEBANK,02-02-2022,13:23:00,39210.8,39161.7115
.NSEBANK,02-02-2022,13:24:00,39190.6,39162.008
.NSEBANK,02-02-2022,13:25:00,39189.9,39162.3035
.NSEBANK,02-02-2022,13:26:00,39190.6,39162.6335
.NSEBANK,02-02-2022,13:27:00,39193.6,39162.989
.NSEBANK,02-02-2022,13:28:00,39196.7,39163.373
.NSEBANK,02-02-2022,13:29:00,39187.1,39163.6485
.NSEBANK,02-02-2022,13:30:00,39167.6,39163.7045
.NSEBANK,02-02-2022,13:31:00,39196.6,39163.972
.NSEBANK,02-02-2022,13:32:00,39213.3,39164.434
.NSEBANK,02-02-2022,13:33:00,39185.9,39164.722
.NSEBANK,02-02-2022,13:34:00,39183.9,39164.97
.NSEBANK,02-02-2022,13:35:00,39192.3,39165.4045
.NSEBANK,02-02-2022,13:36:00,39189.6,39165.93
.NSEBANK,02-02-2022,13:37:00,39185.4,39166.3695
.NSEBANK,02-02-2022,13:38:00,39187.3,39166.6355
