<ticker>,<date>,<time>,<close>
banknifty_option_contract,2/2/2022,9:15:00,143.4
banknifty_option_contract,2/2/2022,9:16:00,139.95
banknifty_option_contract,2/2/2022,9:17:00,161.3
banknifty_option_contract,2/2/2022,9:18:00,157
banknifty_option_contract,2/2/2022,9:19:00,151.1
banknifty_option_contract,2/2/2022,9:20:00,158.8
banknifty_option_contract,2/2/2022,9:21:00,152.55
banknifty_option_contract,2/2/2022,9:22:00,141.2
banknifty_option_contract,2/2/2022,9:23:00,134.3
banknifty_option_contract,2/2/2022,9:24:00,150.7
banknifty_option_contract,2/2/2022,9:25:00,161.35
banknifty_option_contract,2/2/2022,9:26:00,170.65
banknifty_option_contract,2/2/2022,9:27:00,177.35
banknifty_option_contract,2/2/2022,9:28:00,171.75
banknifty_option_contract,2/2/2022,9:29:00,170.75
banknifty_option_contract,2/2/2022,9:30:00,168.5
banknifty_option_contract,2/2/2022,9:31:00,152.25
banknifty_option_contract,2/2/2022,9:32:00,147.25
banknifty_option_contract,2/2/2022,9:33:00,151.15
banknifty_option_contract,2/2/2022,9:34:00,131.75
banknifty_option_contract,2/2/2022,9:35:00,136.25
banknifty_option_contract,2/2/2022,9:36:00,130.95
banknifty_option_contract,2/2/2022,9:37:00,130.85
banknifty_option_contract,2/2/2022,9:38:00,129.25
banknifty_option_contract,2/2/2022,9:39:00,130.8
banknifty_option_contract,2/2/2022,9:40:00,133.2
banknifty_option_contract,2/2/2022,9:41:00,135.95
banknifty_option_contract,2/2/2022,9:42:00,145.5
banknifty_option_contract,2/2/2022,9:43:00,138.7
banknifty_option_contract,2/2/2022,9:44:00,136.65
banknifty_option_contract,2/2/2022,9:45:00,136.55
banknifty_option_contract,2/2/2022,9:46:00,143.65
banknifty_option_contract,2/2/2022,9:47:00,139.5
banknifty_option_contract,2/2/2022,9:48:00,136.3
banknifty_option_contract,2/2/2022,9:49:00,136.65
banknifty_option_contract,2/2/2022,9:50:00,138.6
banknifty_option_contract,2/2/2022,9:51:00,138.7
banknifty_option_contract,2/2/2022,9:52:00,135.4
banknifty_option_contract,2/2/2022,9:53:00,133.9
banknifty_option_contract,2/2/2022,9:54:00,130
banknifty_option_contract,2/2/2022,9:55:00,125.75
banknifty_option_contract,2/2/2022,9:56:00,131
banknifty_option_contract,2/2/2022,9:57:00,126.55
